student_admission_number,guardian_id,relationship,is_primary
STU_001,900005ed000,OTHER,false
STU_001,900005ed001,OTHER,false
STU_001,900005ed002,OTHER,false
STU_001,900005ed003,OTHER,false
STU_001,900005ed004,OTHER,false
STU_001,900005ed005,OTHER,false
STU_001,900005ed006,OTHER,false
STU_001,900005ed007,OTHER,false
STU_001,900005ed008,OTHER,false
STU_001,900005ed009,OTHER,false
STU_001,900005ed010,OTHER,false
STU_001,900005ed011,OTHER,false
STU_001,900005ed012,OTHER,false
STU_001,900005ed013,OTHER,false
STU_001,900005ed014,OTHER,false
STU_001,900005ed015,OTHER,false
STU_001,900005ed016,OTHER,false
STU_001,900005ed017,OTHER,false
STU_001,900005ed018,OTHER,false
STU_001,900005ed019,OTHER,false
STU_001,900005ed020,OTHER,false
STU_001,900005ed021,OTHER,false
STU_001,900005ed022,OTHER,false
STU_001,900005ed023,OTHER,false
STU_001,900005ed024,OTHER,false
STU_001,900005ed025,OTHER,false
STU_001,900005ed026,OTHER,false
STU_001,900005ed027,OTHER,false
STU_001,900005ed028,OTHER,false
STU_001,900005ed029,OTHER,false
STU_001,900005ed030,OTHER,false
STU_001,900005ed031,OTHER,false
STU_001,900005ed032,OTHER,false
STU_001,900005ed033,OTHER,false
STU_001,900005ed034,OTHER,false
STU_001,900005ed035,OTHER,false
STU_001,900005ed036,OTHER,false
STU_001,900005ed037,OTHER,false
STU_001,900005ed038,OTHER,false
STU_001,900005ed039,OTHER,false
STU_001,900005ed040,OTHER,false
STU_001,900005ed041,OTHER,false
STU_001,900005ed042,OTHER,false
STU_001,900005ed043,OTHER,false
STU_001,900005ed044,OTHER,false
STU_001,900005ed045,OTHER,false
STU_001,900005ed046,OTHER,false
STU_001,900005ed047,OTHER,false
STU_001,900005ed048,OTHER,false
STU_001,900005ed049,OTHER,false
STU_001,900005ed050,OTHER,false
STU_001,900005ed051,OTHER,false
STU_001,900005ed052,OTHER,false
STU_001,900005ed053,OTHER,false
STU_001,900005ed054,OTHER,false
STU_001,900005ed055,OTHER,false
STU_001,900005ed056,OTHER,false
STU_001,900005ed057,OTHER,false
STU_001,900005ed058,OTHER,false
STU_001,900005ed059,OTHER,false
STU_001,900005ed060,OTHER,false
STU_001,900005ed061,OTHER,false
STU_001,900005ed062,OTHER,false
STU_001,900005ed063,OTHER,false
STU_001,900005ed064,OTHER,false
STU_001,900005ed065,OTHER,false
STU_001,900005ed066,OTHER,false
STU_001,900005ed067,OTHER,false
STU_001,900005ed068,OTHER,false
STU_001,900005ed069,OTHER,false
STU_001,900005ed070,OTHER,false
STU_001,900005ed071,OTHER,false
STU_001,900005ed072,OTHER,false
STU_001,900005ed073,OTHER,false
STU_001,900005ed074,OTHER,false
STU_001,900005ed075,OTHER,false
STU_001,900005ed076,OTHER,false
STU_001,900005ed077,OTHER,false
STU_001,900005ed078,OTHER,false
STU_001,900005ed079,OTHER,false
STU_001,900005ed080,OTHER,false
STU_001,900005ed081,OTHER,false
STU_001,900005ed082,OTHER,false
STU_001,900005ed083,OTHER,false
STU_001,900005ed084,OTHER,false
STU_001,900005ed085,OTHER,false
STU_001,900005ed086,OTHER,false
STU_001,900005ed087,OTHER,false
STU_001,900005ed088,OTHER,false
STU_001,900005ed089,OTHER,false
STU_001,900005ed090,OTHER,false
STU_001,900005ed091,OTHER,false
STU_001,900005ed092,OTHER,false
STU_001,900005ed093,OTHER,false
STU_001,900005ed094,OTHER,false
STU_001,900005ed095,OTHER,false
STU_001,900005ed096,OTHER,false
STU_001,900005ed097,OTHER,false
STU_001,900005ed098,OTHER,false
STU_001,900005ed099,OTHER,false
STU_001,900005ed100,OTHER,false
STU_001,900005ed101,OTHER,false
STU_001,900005ed102,OTHER,false
STU_001,900005ed103,OTHER,false
STU_001,900005ed104,OTHER,false
