student_admission_number,guardian_id,relationship,is_primary
STU_001,9000fe6f000,OTHER,false
STU_001,9000fe6f001,OTHER,false
STU_001,9000fe6f002,OTHER,false
STU_001,9000fe6f003,OTHER,false
STU_001,9000fe6f004,OTHER,false
STU_001,9000fe6f005,OTHER,false
STU_001,9000fe6f006,OTHER,false
STU_001,9000fe6f007,OTHER,false
STU_001,9000fe6f008,OTHER,false
STU_001,9000fe6f009,OTHER,false
STU_001,9000fe6f010,OTHER,false
STU_001,9000fe6f011,OTHER,false
STU_001,9000fe6f012,OTHER,false
STU_001,9000fe6f013,OTHER,false
STU_001,9000fe6f014,OTHER,false
STU_001,9000fe6f015,OTHER,false
STU_001,9000fe6f016,OTHER,false
STU_001,9000fe6f017,OTHER,false
STU_001,9000fe6f018,OTHER,false
STU_001,9000fe6f019,OTHER,false
STU_001,9000fe6f020,OTHER,false
STU_001,9000fe6f021,OTHER,false
STU_001,9000fe6f022,OTHER,false
STU_001,9000fe6f023,OTHER,false
STU_001,9000fe6f024,OTHER,false
STU_001,9000fe6f025,OTHER,false
STU_001,9000fe6f026,OTHER,false
STU_001,9000fe6f027,OTHER,false
STU_001,9000fe6f028,OTHER,false
STU_001,9000fe6f029,OTHER,false
STU_001,9000fe6f030,OTHER,false
STU_001,9000fe6f031,OTHER,false
STU_001,9000fe6f032,OTHER,false
STU_001,9000fe6f033,OTHER,false
STU_001,9000fe6f034,OTHER,false
STU_001,9000fe6f035,OTHER,false
STU_001,9000fe6f036,OTHER,false
STU_001,9000fe6f037,OTHER,false
STU_001,9000fe6f038,OTHER,false
STU_001,9000fe6f039,OTHER,false
STU_001,9000fe6f040,OTHER,false
STU_001,9000fe6f041,OTHER,false
STU_001,9000fe6f042,OTHER,false
STU_001,9000fe6f043,OTHER,false
STU_001,9000fe6f044,OTHER,false
STU_001,9000fe6f045,OTHER,false
STU_001,9000fe6f046,OTHER,false
STU_001,9000fe6f047,OTHER,false
STU_001,9000fe6f048,OTHER,false
STU_001,9000fe6f049,OTHER,false
STU_001,9000fe6f050,OTHER,false
STU_001,9000fe6f051,OTHER,false
STU_001,9000fe6f052,OTHER,false
STU_001,9000fe6f053,OTHER,false
STU_001,9000fe6f054,OTHER,false
STU_001,9000fe6f055,OTHER,false
STU_001,9000fe6f056,OTHER,false
STU_001,9000fe6f057,OTHER,false
STU_001,9000fe6f058,OTHER,false
STU_001,9000fe6f059,OTHER,false
STU_001,9000fe6f060,OTHER,false
STU_001,9000fe6f061,OTHER,false
STU_001,9000fe6f062,OTHER,false
STU_001,9000fe6f063,OTHER,false
STU_001,9000fe6f064,OTHER,false
STU_001,9000fe6f065,OTHER,false
STU_001,9000fe6f066,OTHER,false
STU_001,9000fe6f067,OTHER,false
STU_001,9000fe6f068,OTHER,false
STU_001,9000fe6f069,OTHER,false
STU_001,9000fe6f070,OTHER,false
STU_001,9000fe6f071,OTHER,false
STU_001,9000fe6f072,OTHER,false
STU_001,9000fe6f073,OTHER,false
STU_001,9000fe6f074,OTHER,false
STU_001,9000fe6f075,OTHER,false
STU_001,9000fe6f076,OTHER,false
STU_001,9000fe6f077,OTHER,false
STU_001,9000fe6f078,OTHER,false
STU_001,9000fe6f079,OTHER,false
STU_001,9000fe6f080,OTHER,false
STU_001,9000fe6f081,OTHER,false
STU_001,9000fe6f082,OTHER,false
STU_001,9000fe6f083,OTHER,false
STU_001,9000fe6f084,OTHER,false
STU_001,9000fe6f085,OTHER,false
STU_001,9000fe6f086,OTHER,false
STU_001,9000fe6f087,OTHER,false
STU_001,9000fe6f088,OTHER,false
STU_001,9000fe6f089,OTHER,false
STU_001,9000fe6f090,OTHER,false
STU_001,9000fe6f091,OTHER,false
STU_001,9000fe6f092,OTHER,false
STU_001,9000fe6f093,OTHER,false
STU_001,9000fe6f094,OTHER,false
STU_001,9000fe6f095,OTHER,false
STU_001,9000fe6f096,OTHER,false
STU_001,9000fe6f097,OTHER,false
STU_001,9000fe6f098,OTHER,false
STU_001,9000fe6f099,OTHER,false
STU_001,9000fe6f100,OTHER,false
STU_001,9000fe6f101,OTHER,false
STU_001,9000fe6f102,OTHER,false
STU_001,9000fe6f103,OTHER,false
STU_001,9000fe6f104,OTHER,false
