student_admission_number,guardian_id,relationship,is_primary
STU_001,9000b8d5000,OTHER,false
STU_001,9000b8d5001,OTHER,false
STU_001,9000b8d5002,OTHER,false
STU_001,9000b8d5003,OTHER,false
STU_001,9000b8d5004,OTHER,false
STU_001,9000b8d5005,OTHER,false
STU_001,9000b8d5006,OTHER,false
STU_001,9000b8d5007,OTHER,false
STU_001,9000b8d5008,OTHER,false
STU_001,9000b8d5009,OTHER,false
STU_001,9000b8d5010,OTHER,false
STU_001,9000b8d5011,OTHER,false
STU_001,9000b8d5012,OTHER,false
STU_001,9000b8d5013,OTHER,false
STU_001,9000b8d5014,OTHER,false
STU_001,9000b8d5015,OTHER,false
STU_001,9000b8d5016,OTHER,false
STU_001,9000b8d5017,OTHER,false
STU_001,9000b8d5018,OTHER,false
STU_001,9000b8d5019,OTHER,false
STU_001,9000b8d5020,OTHER,false
STU_001,9000b8d5021,OTHER,false
STU_001,9000b8d5022,OTHER,false
STU_001,9000b8d5023,OTHER,false
STU_001,9000b8d5024,OTHER,false
STU_001,9000b8d5025,OTHER,false
STU_001,9000b8d5026,OTHER,false
STU_001,9000b8d5027,OTHER,false
STU_001,9000b8d5028,OTHER,false
STU_001,9000b8d5029,OTHER,false
STU_001,9000b8d5030,OTHER,false
STU_001,9000b8d5031,OTHER,false
STU_001,9000b8d5032,OTHER,false
STU_001,9000b8d5033,OTHER,false
STU_001,9000b8d5034,OTHER,false
STU_001,9000b8d5035,OTHER,false
STU_001,9000b8d5036,OTHER,false
STU_001,9000b8d5037,OTHER,false
STU_001,9000b8d5038,OTHER,false
STU_001,9000b8d5039,OTHER,false
STU_001,9000b8d5040,OTHER,false
STU_001,9000b8d5041,OTHER,false
STU_001,9000b8d5042,OTHER,false
STU_001,9000b8d5043,OTHER,false
STU_001,9000b8d5044,OTHER,false
STU_001,9000b8d5045,OTHER,false
STU_001,9000b8d5046,OTHER,false
STU_001,9000b8d5047,OTHER,false
STU_001,9000b8d5048,OTHER,false
STU_001,9000b8d5049,OTHER,false
STU_001,9000b8d5050,OTHER,false
STU_001,9000b8d5051,OTHER,false
STU_001,9000b8d5052,OTHER,false
STU_001,9000b8d5053,OTHER,false
STU_001,9000b8d5054,OTHER,false
STU_001,9000b8d5055,OTHER,false
STU_001,9000b8d5056,OTHER,false
STU_001,9000b8d5057,OTHER,false
STU_001,9000b8d5058,OTHER,false
STU_001,9000b8d5059,OTHER,false
STU_001,9000b8d5060,OTHER,false
STU_001,9000b8d5061,OTHER,false
STU_001,9000b8d5062,OTHER,false
STU_001,9000b8d5063,OTHER,false
STU_001,9000b8d5064,OTHER,false
STU_001,9000b8d5065,OTHER,false
STU_001,9000b8d5066,OTHER,false
STU_001,9000b8d5067,OTHER,false
STU_001,9000b8d5068,OTHER,false
STU_001,9000b8d5069,OTHER,false
STU_001,9000b8d5070,OTHER,false
STU_001,9000b8d5071,OTHER,false
STU_001,9000b8d5072,OTHER,false
STU_001,9000b8d5073,OTHER,false
STU_001,9000b8d5074,OTHER,false
STU_001,9000b8d5075,OTHER,false
STU_001,9000b8d5076,OTHER,false
STU_001,9000b8d5077,OTHER,false
STU_001,9000b8d5078,OTHER,false
STU_001,9000b8d5079,OTHER,false
STU_001,9000b8d5080,OTHER,false
STU_001,9000b8d5081,OTHER,false
STU_001,9000b8d5082,OTHER,false
STU_001,9000b8d5083,OTHER,false
STU_001,9000b8d5084,OTHER,false
STU_001,9000b8d5085,OTHER,false
STU_001,9000b8d5086,OTHER,false
STU_001,9000b8d5087,OTHER,false
STU_001,9000b8d5088,OTHER,false
STU_001,9000b8d5089,OTHER,false
STU_001,9000b8d5090,OTHER,false
STU_001,9000b8d5091,OTHER,false
STU_001,9000b8d5092,OTHER,false
STU_001,9000b8d5093,OTHER,false
STU_001,9000b8d5094,OTHER,false
STU_001,9000b8d5095,OTHER,false
STU_001,9000b8d5096,OTHER,false
STU_001,9000b8d5097,OTHER,false
STU_001,9000b8d5098,OTHER,false
STU_001,9000b8d5099,OTHER,false
STU_001,9000b8d5100,OTHER,false
STU_001,9000b8d5101,OTHER,false
STU_001,9000b8d5102,OTHER,false
STU_001,9000b8d5103,OTHER,false
STU_001,9000b8d5104,OTHER,false
