class_code,section_code,section_name,capacity,room_number,display_sort_order,status,academic_year_code
C5,A,Section A,30,101,1,ACTIVE,AY2025-2026
C5,B,Section B,30,102,2,ACTIVE,AY2025-2026
C6,A,Section A,30,103,1,ACTIVE,AY2025-2026
C6,B,Section B,30,104,2,ACTIVE,AY2025-2026
C7,A,Section A,30,105,1,ACTIVE,AY2025-2026
C7,B,Section B,30,106,2,ACTIVE,AY2025-2026
C8,A,Section A,30,107,1,ACTIVE,AY2025-2026
C8,B,Section B,30,108,2,ACTIVE,AY2025-2026
C9,A,Section A,30,109,1,ACTIVE,AY2025-2026
C9,B,Section B,30,110,2,ACTIVE,AY2025-2026
C10,A,Section A,30,111,1,ACTIVE,AY2025-2026
C10,B,Section B,30,112,2,ACTIVE,AY2025-2026
