admission_number,guardian_code,relationship,is_primary,authorized_for_pickup,receives_notifications
ADM2025001,GRD001,FATHER,true,true,true
ADM2025002,GRD002,FATHER,true,true,true
ADM2025003,GRD003,MOTHER,true,true,true
ADM2025004,GRD004,FATHER,true,true,true
ADM2025005,GRD005,FATHER,true,true,true
ADM2025006,GRD006,MOTHER,true,true,true
ADM2025007,GRD007,FATHER,true,true,true
ADM2025008,GRD008,FATHER,true,true,true
ADM2025009,GRD009,MOTHER,true,true,true
ADM2025010,GRD010,FATHER,true,true,true
ADM2025011,GRD011,FATHER,true,true,true
ADM2025012,GRD012,MOTHER,true,true,true
ADM2025013,GRD013,FATHER,true,true,true
ADM2025014,GRD014,FATHER,true,true,true
ADM2025015,GRD015,MOTHER,true,true,true
ADM2025016,GRD016,FATHER,true,true,true
ADM2025017,GRD017,FATHER,true,true,true
ADM2025018,GRD018,MOTHER,true,true,true
ADM2025019,GRD019,FATHER,true,true,true
ADM2025020,GRD020,FATHER,true,true,true
ADM2025021,GRD021,MOTHER,true,true,true
ADM2025022,GRD022,FATHER,true,true,true
ADM2025023,GRD023,FATHER,true,true,true
ADM2025024,GRD024,MOTHER,true,true,true
ADM2025025,GRD025,FATHER,true,true,true
ADM2025026,GRD026,FATHER,true,true,true
ADM2025027,GRD027,MOTHER,true,true,true
ADM2025028,GRD028,FATHER,true,true,true
ADM2025029,GRD029,FATHER,true,true,true
ADM2025030,GRD030,MOTHER,true,true,true
ADM2025031,GRD031,FATHER,true,true,true
ADM2025032,GRD032,FATHER,true,true,true
ADM2025033,GRD033,MOTHER,true,true,true
ADM2025034,GRD034,FATHER,true,true,true
ADM2025035,GRD035,FATHER,true,true,true
ADM2025036,GRD036,MOTHER,true,true,true
ADM2025037,GRD037,FATHER,true,true,true
ADM2025038,GRD038,FATHER,true,true,true
ADM2025039,GRD039,MOTHER,true,true,true
ADM2025040,GRD040,FATHER,true,true,true
ADM2025041,GRD041,FATHER,true,true,true
ADM2025042,GRD042,MOTHER,true,true,true
ADM2025043,GRD043,FATHER,true,true,true
ADM2025044,GRD044,FATHER,true,true,true
ADM2025045,GRD045,MOTHER,true,true,true
ADM2025046,GRD046,FATHER,true,true,true
ADM2025047,GRD047,FATHER,true,true,true
ADM2025048,GRD048,MOTHER,true,true,true
ADM2025049,GRD049,FATHER,true,true,true
ADM2025050,GRD050,FATHER,true,true,true
ADM2025051,GRD051,MOTHER,true,true,true
ADM2025052,GRD052,FATHER,true,true,true
ADM2025053,GRD053,FATHER,true,true,true
ADM2025054,GRD054,MOTHER,true,true,true
ADM2025055,GRD055,FATHER,true,true,true
ADM2025056,GRD056,FATHER,true,true,true
ADM2025057,GRD057,MOTHER,true,true,true
ADM2025058,GRD058,FATHER,true,true,true
ADM2025059,GRD059,FATHER,true,true,true
ADM2025060,GRD060,MOTHER,true,true,true
ADM2025061,GRD061,FATHER,true,true,true
ADM2025062,GRD062,FATHER,true,true,true
ADM2025063,GRD063,MOTHER,true,true,true
ADM2025064,GRD064,FATHER,true,true,true
ADM2025065,GRD065,FATHER,true,true,true
ADM2025066,GRD066,MOTHER,true,true,true
ADM2025067,GRD067,FATHER,true,true,true
ADM2025068,GRD068,FATHER,true,true,true
ADM2025069,GRD069,MOTHER,true,true,true
ADM2025070,GRD070,FATHER,true,true,true
ADM2025071,GRD071,FATHER,true,true,true
ADM2025072,GRD072,MOTHER,true,true,true
ADM2025073,GRD073,FATHER,true,true,true
ADM2025074,GRD074,FATHER,true,true,true
ADM2025075,GRD075,MOTHER,true,true,true
ADM2025076,GRD076,FATHER,true,true,true
ADM2025077,GRD077,FATHER,true,true,true
ADM2025078,GRD078,MOTHER,true,true,true
ADM2025079,GRD079,FATHER,true,true,true
ADM2025080,GRD080,FATHER,true,true,true
ADM2025081,GRD081,MOTHER,true,true,true
ADM2025082,GRD082,FATHER,true,true,true
ADM2025083,GRD083,FATHER,true,true,true
ADM2025084,GRD084,MOTHER,true,true,true
ADM2025085,GRD085,FATHER,true,true,true
ADM2025086,GRD086,FATHER,true,true,true
ADM2025087,GRD087,MOTHER,true,true,true
ADM2025088,GRD088,FATHER,true,true,true
ADM2025089,GRD089,FATHER,true,true,true
ADM2025090,GRD090,MOTHER,true,true,true
ADM2025091,GRD091,FATHER,true,true,true
ADM2025092,GRD092,FATHER,true,true,true
