teacher_code,subject_code,class_code,section_code,academic_year_code,assignment_type,weekly_periods,effective_from
TCH002,MATH101,C5,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH004,ENG101,C5,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH006,TEL101,C5,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH008,HIN101,C5,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH010,SCI101,C5,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH012,SOC101,C5,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH002,MATH101,C5,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH004,ENG101,C5,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH006,TEL101,C5,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH008,HIN101,C5,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH010,SCI101,C5,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH012,SOC101,C5,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH002,MATH101,C6,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH004,ENG101,C6,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH006,TEL101,C6,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH008,HIN101,C6,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH010,SCI101,C6,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH012,SOC101,C6,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH002,MATH101,C6,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH004,ENG101,C6,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH006,TEL101,C6,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH008,HIN101,C6,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH010,SCI101,C6,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH012,SOC101,C6,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH003,MATH101,C7,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH005,ENG101,C7,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH007,TEL101,C7,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH009,HIN101,C7,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH011,SCI101,C7,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH013,SOC101,C7,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH003,MATH101,C7,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH005,ENG101,C7,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH007,TEL101,C7,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH009,HIN101,C7,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH011,SCI101,C7,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH013,SOC101,C7,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH003,MATH101,C8,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH005,ENG101,C8,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH007,TEL101,C8,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH009,HIN101,C8,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH011,SCI101,C8,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH013,SOC101,C8,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH003,MATH101,C8,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH005,ENG101,C8,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH007,TEL101,C8,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH009,HIN101,C8,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH011,SCI101,C8,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH013,SOC101,C8,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH016,MATH101,C9,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH017,ENG101,C9,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH018,TEL101,C9,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH001,HIN101,C9,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH014,SCI101,C9,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH015,SOC101,C9,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH016,MATH101,C9,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH017,ENG101,C9,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH018,TEL101,C9,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH001,HIN101,C9,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH014,SCI101,C9,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH015,SOC101,C9,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH016,MATH101,C10,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH017,ENG101,C10,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH018,TEL101,C10,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH001,HIN101,C10,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH014,SCI101,C10,A,AY2025-2026,PRIMARY,5,2025-06-01
TCH015,SOC101,C10,A,AY2025-2026,PRIMARY,4,2025-06-01
TCH016,MATH101,C10,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH017,ENG101,C10,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH018,TEL101,C10,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH001,HIN101,C10,B,AY2025-2026,PRIMARY,4,2025-06-01
TCH014,SCI101,C10,B,AY2025-2026,PRIMARY,5,2025-06-01
TCH015,SOC101,C10,B,AY2025-2026,PRIMARY,4,2025-06-01
