academic_year_code,day_of_week,period_number,start_time,end_time,class_code,section_code,subject_code,teacher_code,room_number,period_type
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C5,A,MATH101,TCH002,101,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C5,A,ENG101,TCH004,101,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C5,A,TEL101,TCH006,101,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C5,A,HIN101,TCH008,101,REGULAR
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C5,A,SCI101,TCH010,101,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C5,A,SOC101,TCH012,101,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C5,A,TEL101,TCH006,101,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C5,A,HIN101,TCH008,101,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C5,A,SCI101,TCH010,101,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C5,A,SOC101,TCH012,101,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C5,A,MATH101,TCH002,101,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C5,A,ENG101,TCH004,101,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C5,A,SCI101,TCH010,101,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C5,A,SOC101,TCH012,101,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C5,A,MATH101,TCH002,101,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C5,A,ENG101,TCH004,101,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C5,A,TEL101,TCH006,101,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C5,A,HIN101,TCH008,101,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C5,A,MATH101,TCH002,101,REGULAR
