academic_year_code,exam_code,exam_name,exam_type,class_code,subject_code,exam_date,maximum_marks,duration_minutes
AY2025-2026,EXAM_Q1_C5_MATH101,Quarterly Examination 2025 - C5 Mathematics,QUARTERLY,C5,MATH101,2025-09-15,100,180
AY2025-2026,EXAM_Q1_C5_ENG101,Quarterly Examination 2025 - C5 English Language,QUARTERLY,C5,ENG101,2025-09-16,100,180
AY2025-2026,EXAM_Q1_C5_TEL101,Quarterly Examination 2025 - C5 Telugu Regional Language,QUARTERLY,C5,TEL101,2025-09-17,100,180
AY2025-2026,EXAM_Q1_C5_HIN101,Quarterly Examination 2025 - C5 Hindi Second Language,QUARTERLY,C5,HIN101,2025-09-18,100,180
AY2025-2026,EXAM_Q1_C5_SCI101,Quarterly Examination 2025 - C5 General Science,QUARTERLY,C5,SCI101,2025-09-19,100,180
AY2025-2026,EXAM_Q1_C5_SOC101,Quarterly Examination 2025 - C5 Social Studies,QUARTERLY,C5,SOC101,2025-09-20,100,180
AY2025-2026,EXAM_Q1_C6_MATH101,Quarterly Examination 2025 - C6 Mathematics,QUARTERLY,C6,MATH101,2025-09-15,100,180
AY2025-2026,EXAM_Q1_C6_ENG101,Quarterly Examination 2025 - C6 English Language,QUARTERLY,C6,ENG101,2025-09-16,100,180
AY2025-2026,EXAM_Q1_C6_TEL101,Quarterly Examination 2025 - C6 Telugu Regional Language,QUARTERLY,C6,TEL101,2025-09-17,100,180
AY2025-2026,EXAM_Q1_C6_HIN101,Quarterly Examination 2025 - C6 Hindi Second Language,QUARTERLY,C6,HIN101,2025-09-18,100,180
AY2025-2026,EXAM_Q1_C6_SCI101,Quarterly Examination 2025 - C6 General Science,QUARTERLY,C6,SCI101,2025-09-19,100,180
AY2025-2026,EXAM_Q1_C6_SOC101,Quarterly Examination 2025 - C6 Social Studies,QUARTERLY,C6,SOC101,2025-09-20,100,180
AY2025-2026,EXAM_Q1_C7_MATH101,Quarterly Examination 2025 - C7 Mathematics,QUARTERLY,C7,MATH101,2025-09-15,100,180
AY2025-2026,EXAM_Q1_C7_ENG101,Quarterly Examination 2025 - C7 English Language,QUARTERLY,C7,ENG101,2025-09-16,100,180
AY2025-2026,EXAM_Q1_C7_TEL101,Quarterly Examination 2025 - C7 Telugu Regional Language,QUARTERLY,C7,TEL101,2025-09-17,100,180
AY2025-2026,EXAM_Q1_C7_HIN101,Quarterly Examination 2025 - C7 Hindi Second Language,QUARTERLY,C7,HIN101,2025-09-18,100,180
AY2025-2026,EXAM_Q1_C7_SCI101,Quarterly Examination 2025 - C7 General Science,QUARTERLY,C7,SCI101,2025-09-19,100,180
AY2025-2026,EXAM_Q1_C7_SOC101,Quarterly Examination 2025 - C7 Social Studies,QUARTERLY,C7,SOC101,2025-09-20,100,180
AY2025-2026,EXAM_Q1_C8_MATH101,Quarterly Examination 2025 - C8 Mathematics,QUARTERLY,C8,MATH101,2025-09-15,100,180
AY2025-2026,EXAM_Q1_C8_ENG101,Quarterly Examination 2025 - C8 English Language,QUARTERLY,C8,ENG101,2025-09-16,100,180
AY2025-2026,EXAM_Q1_C8_TEL101,Quarterly Examination 2025 - C8 Telugu Regional Language,QUARTERLY,C8,TEL101,2025-09-17,100,180
AY2025-2026,EXAM_Q1_C8_HIN101,Quarterly Examination 2025 - C8 Hindi Second Language,QUARTERLY,C8,HIN101,2025-09-18,100,180
AY2025-2026,EXAM_Q1_C8_SCI101,Quarterly Examination 2025 - C8 General Science,QUARTERLY,C8,SCI101,2025-09-19,100,180
AY2025-2026,EXAM_Q1_C8_SOC101,Quarterly Examination 2025 - C8 Social Studies,QUARTERLY,C8,SOC101,2025-09-20,100,180
AY2025-2026,EXAM_Q1_C9_MATH101,Quarterly Examination 2025 - C9 Mathematics,QUARTERLY,C9,MATH101,2025-09-15,100,180
AY2025-2026,EXAM_Q1_C9_ENG101,Quarterly Examination 2025 - C9 English Language,QUARTERLY,C9,ENG101,2025-09-16,100,180
AY2025-2026,EXAM_Q1_C9_TEL101,Quarterly Examination 2025 - C9 Telugu Regional Language,QUARTERLY,C9,TEL101,2025-09-17,100,180
AY2025-2026,EXAM_Q1_C9_HIN101,Quarterly Examination 2025 - C9 Hindi Second Language,QUARTERLY,C9,HIN101,2025-09-18,100,180
AY2025-2026,EXAM_Q1_C9_SCI101,Quarterly Examination 2025 - C9 General Science,QUARTERLY,C9,SCI101,2025-09-19,100,180
AY2025-2026,EXAM_Q1_C9_SOC101,Quarterly Examination 2025 - C9 Social Studies,QUARTERLY,C9,SOC101,2025-09-20,100,180
AY2025-2026,EXAM_Q1_C10_MATH101,Quarterly Examination 2025 - C10 Mathematics,QUARTERLY,C10,MATH101,2025-09-15,100,180
AY2025-2026,EXAM_Q1_C10_ENG101,Quarterly Examination 2025 - C10 English Language,QUARTERLY,C10,ENG101,2025-09-16,100,180
AY2025-2026,EXAM_Q1_C10_TEL101,Quarterly Examination 2025 - C10 Telugu Regional Language,QUARTERLY,C10,TEL101,2025-09-17,100,180
AY2025-2026,EXAM_Q1_C10_HIN101,Quarterly Examination 2025 - C10 Hindi Second Language,QUARTERLY,C10,HIN101,2025-09-18,100,180
AY2025-2026,EXAM_Q1_C10_SCI101,Quarterly Examination 2025 - C10 General Science,QUARTERLY,C10,SCI101,2025-09-19,100,180
AY2025-2026,EXAM_Q1_C10_SOC101,Quarterly Examination 2025 - C10 Social Studies,QUARTERLY,C10,SOC101,2025-09-20,100,180
